,Name,has_cube,No,Bulge,Outskirts,RA_NED,DEC_NED,Morphology,deVac Morphology,V_r [km/s],D [Mpc],E(B-V),PA [degree],logd25,logr25
0,2MASXJ01372378-0018422,True,17.0,lineless,lineless,24.349083,-0.311722,-,-,16798.0,248.51,0.0205386274306419,-999.0,-999.0,-999.0
1,2MASXJ02500784-0016014,True,14.0,liny,lineless,42.532724,-0.26697,-,-,8722.0,128.69,0.0503779734874697,-999.0,-999.0,-999.0
2,2MASXJ03381926-3507447,True,,,,54.580182,-35.129101,,,1424,,,,0.89,
3,2MASXJ03384056+0958119,True,15.0,liny,liny,54.668973,9.969896,S3 / cD Sy2,-,10458.0,152.92,0.352192466786635,-999.0,-999.0,-999.0
4,2MASXJ06134795-6755146,True,,,,93.450073,-67.920674,,,10782,,,,0.89,
5,2MASXJ10193682+1933131,True,,,,154.903343,19.553754,,,19389,,,,0.48,
6,2MASXJ14103977-0241003,True,4.0,liny,lineless,212.665615,-2.683514,-3,-,8190.0,120.23,0.055913283338825,-999.0,-999.0,-999.0
7,3C076.1,True,23.0,liny,lineless,45.812598,16.438628,-999,-999,9724.0,-999.0,0.117423016420827,-999.0,-999.0,-999.0
8,3C264,True,24.0,wAGN,lineless,176.270871,19.606317,E,E,6474.0,94.74,0.0201852640662973,155.1,1.04,0.0
9,3C277.3,True,,,,193.550057,27.626094,,,25729,,,,0.54,
10,ESO107-4,True,18.0,lineless,lineless,315.873417,-67.181333,-,E1:,3139.0,44.51,0.0357831629647145,-999.0,-999.0,-999.0
11,ESO197-18,True,,,,30.628457,-50.931604,,,6318,,,,1.20,
12,ESO364-18,True,48.0,liny,lineless,89.302208,-37.477306,-999,-999,13259.0,-999.0,0.0332342810101931,-999.0,-999.0,-999.0
13,ESO440-25,True,,,,178.284334,-32.565997,,,8186,,,,1.11,
14,ESO541-13,True,7.0,liny,lineless,15.673833,-21.882083,cD / E+3 pec,cD3 pec,17073.0,251.88,0.0159518568871188,-999.0,-999.0,-999.0
15,IC1365,True,,,,318.482958,2.565389,,,14773,,,,1.22,
16,IC1391,True,20.0,liny,lineless,323.751657,-0.511436,-,-5,9041.0,135.59,0.0328535518038226,-999.0,-999.0,-999.0
