Gal,Reff
NGC3546                     ,5.5
UGC595                      ,6.3
2MASXJ00413032-0915459      ,6.1
IC4374                      ,10.3
ARP244                      ,7.1
PGC170294                   ,3.9
UGC1395                     ,14.6
NGC1954                     ,4.2
PGC057687                   ,4.1
CGCG051-075                 ,5.2
PGC055442                   ,6.1
PGC002414                   ,2.8
NGC2765                     ,12.6
PGC2816341                  ,2.3
KUG1237+183                 ,7.3
UGC11037                    ,15.1
SDSSJ102131.91+082419.8     ,2.2
CGCG103-030                 ,6.3
CGCG023-005                 ,7.6
2MASXJ12470274-2414435      ,2.3
ESO075-G049                 ,4.6
NGC2466                     ,15.6
ESO506-4                    ,13.5
MRK0842                     ,3.3
MCG-01-38-015               ,5.1
2MASXJ20220000-5147474      ,6.7
ESO416-G039                 ,4.2
PGC043070                   ,10.4
2MASXJ01504127-1431032      ,7.7
ESO058-G012                 ,15.6
ESO113-32                   ,13.4
ESO462-G009                 ,7.3
ESO467-51                   ,34.3
2MASXJ07353554-6246099      ,6.4
PGC128348                   ,11.8
GALEXASCJ184443.33-524819.2 ,11.8
ESO253-G003                 ,5.4
2MASXJ23451480-2947009      ,5.4
GALEXASCJ125413.02-073849.5 ,10.6
PGC043234                   ,1.3
NGC4666                     ,26.9
IC0299                      ,4.4
2MASXJ14103977-0241003      ,3.3
LCRSB232926.0-413242        ,8.6
ESO113-47                   ,11.8
PGC006240                   ,2.4
ESO325-G045                 ,27.5
2dFGRSTGS579Z185            ,5.8
2MASXJ15055168-0537322      ,9.8
NGC5996                     ,14.6
ESO375-41                   ,8.3
2MASXJ09534925+0911377      ,4.1
ASASSN-15ho_b               ,3.7
2MASXIJ0909234-044327       ,4.1
LEDA703825                  ,7.3
ASASSN-15HY                 ,6.9
ESO113-18                   ,6.8
ASASSN-15lh_b               ,1.3
AnonJ220215-6139            ,1.3
NGC2442                     ,42.2
2MASXJ17262669-6032500      ,10.1
cartwheel                   ,32.8
ESO323-5                    ,11.8
2MASXJ01460987-6727579      ,4.2
2MASXJ05583036-6333386      ,1.4
2MASXJ06380745-7543288      ,7.3
2MASXJ02022241-6544090      ,3.1
2MASXJ06134795-6755146      ,5.6
CSS121006232854             ,3.1
SDSSJ090202.19+101759.7     ,7.1
ESO137-001                  ,13.3
ESO157-49                   ,16.6
ESO443-21                   ,6.9
ESO498-G5                   ,17.2
ESO499-G37                  ,23.0
ESO544-27                   ,10.5
ESO602-25                   ,18.4
ESO358-51                   ,12.2
ESO467-13                   ,11.2
NGC985                      ,6.0
IC1158                      ,33.9
IC1481                      ,1.1
IC1553                      ,15.5
IC4296                      ,11.0
IC5179                      ,20.3
IC986                       ,6.2
IC1438                      ,12.8
NGC1762                     ,15.3
LEDA1251356                 ,5.5
6dFGSgJ002348.3-035121      ,9.1
ESO362-18                   ,8.8
LEDA430299                  ,5.1
JO119_b                     ,3.0
2MASXJ06295911-5447384      ,3.8
LEDA73473                   ,4.2
LEDA98502                   ,7.6
MCG-02-02-091               ,9.0
2MASXJ00413032-0915459      ,6.9
ZwCl1012-0047               ,6.6
LEDA916029                  ,5.3
JO28                        ,4.0
2MFGC903                    ,11.1
LEDA1172943                 ,5.4
2MASXJ01144386+0017100      ,6.6
JO5_b                       ,1.3
LEDA997849                  ,3.9
LEDA83701                   ,7.3
ESO510-G034                 ,4.9
2MASXJ03125293-0012238      ,4.5
MCG-06-12-002               ,4.9
LSQ12gln                    ,1.1
GALEXASCJ110738.65-294235.5 ,3.9
LSQ12hxx_b                  ,1.3
2MASXiJ0401529-263947       ,3.8
ESO541-13                   ,10.7
PGC1194403                  ,6.2
2MASXJ04035024-0239275      ,4.6
LCSBS0801P                  ,6.2
2MASXJ15594517-1027126      ,4.3
2MASXJ10193682+1933131      ,2.0
2MASXJ13434760-3254381      ,4.3
2MASXJ11113635-2127597      ,6.7
GALEXASCJ195932.30-565932.4 ,7.2
LEDA917201                  ,2.3
2MASXJ12304088-1346236      ,6.0
LSQ15aja                    ,2.0
ESO508-16                   ,11.3
NGC0307                     ,9.8
NGC0410                     ,14.1
NGC0424                     ,17.5
NGC0448                     ,8.6
NGC0545_b                   ,4.9
NGC0545                     ,11.3
NGC0613                     ,23.1
NGC0924                     ,5.4
NGC1042                     ,32.1
NGC1060                     ,11.8
NGC1068                     ,21.6
NGC1097                     ,15.8
NGC1427A                    ,18.4
NGC1483                     ,20.5
NGC2698                     ,10.7
NGC289                      ,19.6
NGC2906                     ,17.9
NGC2992                     ,16.0
NGC3256                     ,14.2
NGC3783                     ,15.0
NGC4030                     ,17.6
NGC4191                     ,10.1
NGC4261                     ,5.4
NGC4486                     ,16.0
NGC4592                     ,26.2
NGC4603                     ,24.8
NGC4643                     ,15.1
NGC4696D                    ,11.9
NGC4706                     ,8.9
NGC4790                     ,19.8
NGC4825                     ,10.5
NGC4936                     ,8.7
NGC4941                     ,20.8
NGC4980                     ,17.3
NGC4981                     ,12.4
NGC5236                     ,13.6
NGC5253                     ,20.9
NGC5334                     ,25.1
NGC5507                     ,8.7
NGC5584                     ,30.1
NGC5626                     ,13.4
NGC5728                     ,19.7
NGC5806                     ,23.3
NGC6240                     ,17.8
NGC6754                     ,29.5
NGC6902                     ,17.4
NGC6926                     ,23.7
NGC7130                     ,11.7
NGC7140                     ,24.2
NGC7162                     ,20.1
NGC7421                     ,22.7
NGC7496                     ,31.8
NGC7552                     ,20.1
NGC7742                     ,9.0
NGC7755                     ,16.2
NGC833                      ,10.5
NGC835                      ,8.1
NGC1365                     ,18.4
IC4350                      ,12.5
2MASXJ10461486+0003013      ,4.8
2dFGRSTGN370Z300            ,2.9
2dFGRSTGN356Z232            ,3.6
2dFGRSTGN327Z157            ,3.8
2dFGRSTGN361Z241            ,7.5
PGC015524                   ,17.7
PGC28308                    ,23.0
PGC30591                    ,13.4
PGC3853                     ,25.3
MCG-05-09-008               ,7.1
ESO418-7                    ,11.8
IC1044                      ,8.6
2dFGRSTGN375Z207            ,3.6
SDSSJ085940.13+151113.6     ,10.2
SDSSJ095444.27+231151.6     ,2.1
NGC2370                     ,16.6
UGC5691                     ,9.7
2MASXJ10064866-0741124      ,5.9
NGC7364                     ,7.9
SDSSJ122005.45+092418.2     ,3.4
NGC881                      ,19.5
2MASXJ02500784-0016014      ,6.9
2MASXi0415016-152053        ,7.0
AnonJ162243+1857            ,2.4
UGC9839                     ,13.2
2MASXJ15042974+0219591      ,10.9
2MASXJ03384056+0958119      ,7.5
IC3476                      ,18.0
IC5201                      ,65.1
NGC4451                     ,12.1
NGC5917                     ,13.0
IC0344                      ,13.5
NGC4526                     ,13.6
NGC3451                     ,23.6
NGC4691                     ,13.9
ESO184-G082                 ,11.5
NGC4900                     ,32.3
NGC3318                     ,18.7
UGC10738                    ,18.9
NGC7780                     ,13.9
NGC3512                     ,15.7
NGC5468                     ,0.0
CGCG044-035                 ,10.1
UGC11985                    ,0.0
SN2002jg_2_b                ,18.3
NGC7253                     ,17.7
NGC7771                     ,16.8
MCG-02-02-086               ,12.1
NGC3997                     ,14.2
UGC11001                    ,18.6
UGC12158                    ,11.1
UGC11816                    ,12.8
ESO552-G40                  ,12.9
MCG+03-22-020               ,5.8
2MASXJ18324117-3411274      ,8.7
2MASXJ14564322+0919361      ,3.3
NGC5304                     ,8.5
SDSSJ145931.51+164011.0     ,3.7
MCG+03-31-093               ,4.3
WINGSJ201014.69-563830.1    ,12.5
MCG-01-39-003               ,15.2
ESO488-G30                  ,9.9
MCG+00-06-003               ,7.7
UGC00272                    ,20.6
ESO538-13                   ,7.0
APMBGC482+086+000           ,10.9
2MASXJ22594265-0000478      ,2.5
MCG-03-07-040               ,10.5
IC672                       ,6.1
NGC2930                     ,8.3
UGC3634                     ,7.9
NGC3363                     ,10.5
IC4582                      ,13.0
NGC7329                     ,0.0
NGC5185                     ,19.5
UGC11214                    ,16.5
UGC11723                    ,17.2
UGC9530                     ,10.5
MCG-01-33-034               ,8.1
NGC5338                     ,0.0
NGC5338                     ,10.6
NGC809                      ,5.6
NGC191A                     ,5.0
SN2006eq                    ,3.5
NGC0232                     ,7.3
ESO552-52                   ,5.8
2MASXJ01135716+0022171      ,2.6
2MASXJ09151727-2536001      ,4.5
NGC4651                     ,26.4
