,Name,has_cube,No,Bulge,Outskirts,RA_NED,DEC_NED,Morphology,deVac Morphology,V_r [km/s],D [Mpc],E(B-V),PA [degree],logd25,logr25,inc,PA,Reff
0,2MASXJ01372378-0018422,True,17.0,lineless,lineless,24.349083,-0.311722,-,-,16798.0,248.51,0.023882125,49.5,0.44,0.06,21.3,125.1,1.9
1,2MASXJ02500784-0016014,True,14.0,liny,lineless,42.532724,-0.26697,-,-,8722.0,128.69,0.05857904,91.6,0.69,0.12,48.3,14.5,6.9
2,2MASXJ03381926-3507447,True,,,,54.580182,-35.129101,,,1424.0,17.218685749860068,0.014602562,110.0,0.89,0.08,37.4,10.1,9.2
3,2MASXJ03384056+0958119,True,15.0,liny,liny,54.668973,9.969896,S3 / cD Sy2,-,10458.0,152.92,0.4095261,152.0,1.17,0.31,48.9,43.0,7.5
4,2MASXJ06134795-6755146,True,,,,93.450073,-67.920674,,,10782.0,153.4616982799294,0.06064556,70.0,1.17,0.31,37.4,117.6,5.6
5,2MASXJ10193682+1933131,True,,,,154.903343,19.553754,,,19389.0,289.7343587701327,0.02876885,179.8,0.48,0.09,54.1,89.2,2.0
6,2MASXJ14103977-0241003,True,4.0,liny,lineless,212.665615,-2.683514,-3,-,8190.0,120.23,0.06501544,174.6,0.73,0.10,37.7,73.4,3.3
7,3C076.1,True,23.0,liny,lineless,45.812598,16.438628,-999,-999,9724.0,141.2537544622754,0.13653839,141.5,0.67,0.16,36.5,47.0,3.8
8,3C264,True,24.0,wAGN,lineless,176.270871,19.606317,E,E,6474.0,94.74,0.023471238,155.1,1.04,0.0,24.1,72.4,9.4
9,3C277.3,True,,,,193.550057,27.626094,,,25729.0,389.04514499428126,0.011634619,159.4,0.54,0.16,8.1,94.9,3.3
10,ESO107-4,True,18.0,lineless,lineless,315.873417,-67.181333,-,E1:,3139.0,44.51,0.04160833,134.7,1.33,0.09,30.1,42.8,5.8
11,ESO197-18,True,,,,30.628457,-50.931604,,,6318.0,87.90225168308838,0.017103931,169.0,1.20,0.14,39.7,83.6,7.3
12,ESO364-18,True,48.0,liny,lineless,89.302208,-37.477306,-999,-999,13259.0,190.54607179632464,0.03864451,139.4,1.14,0.19,42.5,52.4,7.5
13,ESO440-25,True,,,,178.284334,-32.565997,,,8186.0,118.03206356517298,0.10886586,0.5,1.11,0.11,25.9,96.2,6.3
14,ESO541-13,True,7.0,liny,lineless,15.673833,-21.882083,cD / E+3 pec,cD3 pec,17073.0,251.88,0.018548671,16.4,1.20,0.28,57.6,112.8,10.7
15,IC1365,True,,,,318.482958,2.565389,,,14773.0,218.77616239495563,0.06779734,56.9,1.22,0.29,43.0,143.6,13.8
16,IC1391,True,20.0,liny,lineless,323.751657,-0.511436,-,-5,9041.0,135.59,0.038201805,84.0,0.80,0.11,33.1,13.2,7.0
17,IC4296,True,6.0,liny,lineless,204.162625,-33.965833,E / RLG / BrClG LINER,E,3781.0,53.05,0.063664,45.7,1.66,0.28,26.4,153.8,11.0
18,IC4374,True,50.0,liny,liny,211.874009,-27.017859,-999,-999,6518.0,94.62371613657939,0.060363486,106.4,1.25,0.11,38.2,17.9,10.3
19,M84,True,28.0,lineless,lineless,186.265597,12.886983,-999,-999,999.0,20.417379446695296,0.040692724,133.4,1.87,0.06,31.0,36.4,13.5
20,MCG-01-38-015,True,3.0,liny,lineless,225.161852,-3.858342,-,-,6860.0,100.35,0.15388706,154.5,1.06,0.12,38.2,48.1,5.1
21,MCG+03-22-020,True,16.0,liny,lineless,129.599366,17.631331,-,S0?,8214.0,119.73,0.030868461,41.6,0.82,0.07,18.8,166.6,5.8
22,MCG-05-47-003,True,32.0,lineless,lineless,297.996103,-30.816223,-999,-999,5861.0,85.11380382023759,0.13989292,122.0,0.99,0.07,46.4,16.1,6.4
23,MCG-06-08-024,True,30.0,SF,SF,52.784417,-36.290139,-999,-999,1817.0,19.408858775927794,0.012037605,144.0,1.02,0.19,49.4,70.3,7.4
24,NGC0410,True,9.0,liny,lineless,17.745435,33.151892,E+: / LINER HII,cD:,5276.0,78.99,0.058591526,33.8,1.37,0.17,34.0,142.4,14.1
25,NGC1587,True,38.0,liny,liny,67.666411,0.661583,-999,-999,3672.0,51.0504999975406,0.07172086,72.8,1.32,0.15,37.3,148.7,6.8
26,NGC3091,True,,,,150.05883,-19.63647,,,3809.0,53.456435939697194,0.04336401,143.6,1.57,0.23,41.5,57.6,8.5
27,NGC3546,True,49.0,lineless,lineless,167.444959,-13.380862,-999,-999,4449.0,63.38697112569264,0.05305144,101.3,1.28,0.33,54.5,29.1,5.5
28,NGC4261,True,,,,184.846734,5.824917,,,2222.0,31.915378551007663,0.017715963,159.8,1.63,0.10,38.3,66.9,5.4
29,NGC4325,True,37.0,wAGN,liny,185.777838,10.621191,-999,-999,7641.0,112.71974561755094,0.034289327,179.7,1.09,0.20,48.5,92.0,8.4
30,NGC4936,True,12.0,liny,liny,196.070386,-30.526258,E0 poss. LINER,E0,3093.0,43.76,0.08285758,6.1,1.46,0.07,34.6,68.3,8.7
31,NGC5328,True,40.0,liny,lineless,208.222138,-28.489402,-999,-999,4701.0,67.60829753919812,0.06247575,76.8,1.49,0.25,45.0,173.6,10.4
