Name,V_r [Km/s],logd25,logr25,PA [Degree],lon,lat
2MASXJ01372378-0018422,16798,0.44,0.06,49.5,147.19082,-61.00025
2MASXJ02500784-0016014,8721,0.69,0.12,91.6,174.55584,-50.84074
2MASXJ03381926-3507447,1424,0.89,0.08,110.0,236.17498,-53.67498
2MASXJ03384056+0958119,10458,1.17,0.31,152.0,176.26451,-35.05779
2MASXJ06134795-6755146,10782,,,70.0,277.97181,-28.50500
2MASXJ10193682+1933131,19389,0.48,0.09,179.8,216.97140,54.47709
2MASXJ14103977-0241003,8190,0.73,0.10,174.6,338.67934,54.59466
3C076.1,9724,0.67,0.16,141.5,163.06487,-35.96135
3C264,6474,1.04,0.00,,235.72754,73.03847
3C277.3,25729,0.54,0.16,159.4,072.15890,89.21008
ESO107-4,3139,1.33,0.09,134.7,327.12042,-37.47017
ESO197-18,6318,1.20,0.14,169.0,278.18689,-62.64496
ESO364-18,13259,1.14,0.19,139.4,243.55525,-26.29571
ESO440-25,8186,1.11,0.11,0.5,288.93761,28.71665
ESO541-13,17074,1.20,0.28,16.4,149.55019,-84.16287
IC1365,14773,1.22,0.29,56.9,053.52755,-29.83125
IC1391,9040,0.80,0.11,84.0,053.95697,-35.92083
IC4296,3781,1.66,0.28,45.7,313.53858,27.97309
IC4374,6518,1.25,0.11,106.4,323.14434,32.85126
M84,999,1.87,0.06,133.4,278.20384,74.47846
MCG-01-38-015,6860,1.06,0.12,154.5,353.11922,46.04346
MCG+03-22-020,8214,0.82,0.07,41.6,207.96005,31.31527
MCG-05-47-003,5861,0.99,0.07,122.0,009.82830,-25.66924
MCG-06-08-024,1817,1.02,0.19,144.0,238.26617,-55.08628
NGC0410,5276,1.37,0.17,33.8,127.63355,-29.54104
NGC1587,3672,1.32,0.15,72.8,194.45458,-30.50614
NGC3091,3809,1.57,0.23,143.6,256.75602,27.50354
NGC3546,4449,1.28,0.33,101.3,268.39437,42.57208
NGC4261,2222,1.63,0.10,159.8,281.80444,67.37259
NGC4325,7641,1.09,0.20,179.7,279.58386,72.19678
NGC4936,3093,1.46,0.07,6.1,306.20326,32.26396
NGC5328,4701,1.49,0.25,76.8,318.95192,32.46369
NGC5419,4156,1.60,0.13,75.6,319.62403,26.54184
NGC6768,5568,1.10,0.10,35.5,357.68191,-21.63403
NGC677,5143,1.26,0.00,,143.99356,-47.43915
NGC6805,5960,1.07,0.05,159.2,001.69557,-24.61715
NGC7173,2497,1.27,0.09,140.5,014.95655,-53.07771
PGC003342,13344,1.17,0.12,40.4,125.69699,-64.10134
PGC004500,13437,1.09,0.15,155.0,135.48099,-61.86656
PGC007748,12755,1.08,0.23,60.0,159.05661,-58.93797
PGC015524,9835,1.28,0.19,179.8,209.58662,-36.48796
PGC018236,13973,1.05,0.20,65.5,246.51731,-26.29675
PGC047154,14293,1.07,0.06,159.0,311.89473,30.85358
PGC047590,13098,1.02,0.05,134.4,312.92850,30.30341
PGC055442,7026,0.86,0.12,17.6,032.73993,52.63233
UGC09799,10352,1.26,0.32,30.5,009.41749,50.12030
UGC595,13499,0.94,0.03,,126.46438,-64.22242
