Name,lon,lat,v,mpc
2MASXJ01372378-0018422,147.190544,-61.000140,16798,235.500
2MASXJ02500784-0016014,174.555553,-50.840707,8722,129.000
2MASXJ03381926-3507447,236.174895,-53.675326,1420,17.550
2MASXJ03384056+0958119,,,,
2MASXJ06134795-6755146,,,,
2MASXJ10193682+1933131,,,,
2MASXJ14103977-0241003,338.679038,54.594633,8190,78.200
3C076.1,163.063876,-35.963109,9740,N/A
3C264,235.727339,73.038428,6474,93.188
3C277.3,72.156269,89.210210,25728,331.000
ESO107-4,,,,
ESO197-18,278.186747,-62.645125,6439,110.000
ESO364-18,243.555085,-26.295720,13423,N/A
ESO440-25,288.937594,28.716489,8193,121.000
ESO541-13,149.547944,-84.162729,17073,N/A
IC1365,53.527625,-29.831358,14794,N/A
IC1391,53.957065,-35.920678,9041,214.500
IC4296,313.538292,27.973049,3737,46.916
IC4374,323.144400,32.851208,6535,97.300
M84,278.204531,74.478338,1017,16.966
MCG-01-38-015,353.118884,46.043420,6812,N/A
MCG+03-22-020,207.960211,31.315191,8214,135.564
MCG-05-47-003,9.828424,-25.669192,5863,N/A
MCG-06-08-024,,,,
NGC0410,127.633349,-29.541116,5204,76.317
NGC1587,,,,
NGC3091,256.755911,27.502970,3964,54.743
NGC3546,,,,
NGC4261,,,,
NGC4325,279.584339,72.196667,7641,102.000
NGC4936,306.202886,32.263941,3117,35.000
NGC5328,318.951910,32.463526,4740,55.275
NGC5419,319.624652,26.542022,4126,62.817
NGC6768,357.682010,-21.634126,5569,77.300
NGC677,143.993491,-47.438888,5075,75.500
NGC6805,1.695627,-24.617169,5960,N/A
NGC7173,14.956736,-53.077118,2497,37.212
PGC003342,125.696894,-64.101122,13349,170.000
PGC004500,135.480804,-61.866371,13436,195.778
PGC007748,159.056204,-58.937925,12755,183.000
PGC015524,,,,
PGC018236,246.517209,-26.296886,13973,N/A
PGC047154,311.894587,30.853603,14281,193.000
PGC047590,312.927555,30.302060,13107,N/A
PGC055442,32.739716,52.632385,7026,N/A
UGC09799,9.417500,50.120285,10357,145.200
UGC595,126.464380,-64.220588,13500,171.375
